impl,n,build_time_s,avg_search_time_s
bs_phf,600000,2.899924,7.79891e-07
bs_phf,700000,3.344357,8.72588e-07
bs_phf,800000,3.894175,6.22082e-07
bs_phf,900000,4.275142,1.03588e-06
bs_phf,1000000,4.973045,9.31215e-07
bs_phf,1100000,6.232101,6.65307e-07
bs_phf,1200000,6.786756,7.02786e-07
bs_phf,1300000,7.110318,1.0443e-06
bs_phf,1400000,7.492681,9.75418e-07
bs_phf,1500000,7.937271,1.0994e-06
bs_phf,1600000,8.762703,7.78484e-07
bs_phf,1700000,9.259327,1.1471e-06
bs_phf,1800000,9.642113,1.19591e-06
bs_phf,1900000,10.176880,1.24929e-06
bs_phf,2000000,10.649965,1.0124e-06
bs_phf,2100000,13.321960,6.01196e-07
bs_phf,2200000,13.744244,8.22401e-07
bs_phf,2300000,14.188363,9.52506e-07
bs_phf,2400000,14.795559,9.40704e-07
bs_phf,2500000,15.226071,9.8269e-07
bs_phf,2600000,15.576144,1.2305e-06
bs_phf,2700000,16.461123,1.05801e-06
bs_phf,2800000,17.153997,1.13142e-06
bs_phf,2900000,17.778730,9.57298e-07
bs_phf,3000000,18.314929,1.43621e-06
bs_phf,3100000,18.884802,1.3077e-06
bs_phf,3200000,19.828531,9.07588e-07
bs_phf,3300000,20.505040,1.054e-06
bs_phf,3400000,20.793166,1.2557e-06
bs_phf,3500000,21.335811,1.25439e-06
bs_phf,3600000,21.767628,1.4297e-06
bs_phf,3700000,22.882852,1.28341e-06
bs_phf,3800000,23.101327,1.46551e-06
bs_phf,3900000,23.767054,1.4183e-06
bs_phf,4000000,24.273366,1.22509e-06
bs_phf,4100000,24.676599,1.4091e-06
bs_phf,4200000,30.380912,7.61294e-07
bs_phf,4300000,30.613759,9.027e-07
bs_phf,4400000,32.856527,9.68289e-07
bs_phf,4500000,34.785047,9.42779e-07
bs_phf,4600000,33.105883,1.1153e-06
bs_phf,4700000,32.816844,1.4286e-06
bs_phf,4800000,34.046746,1.0469e-06
bs_phf,4900000,33.885467,1.10691e-06
bs_phf,5000000,34.462737,1.1096e-06
bs_phf,5100000,35.199036,1.40629e-06
bs_phf,5200000,35.807005,1.44191e-06
bs_phf,5300000,37.200032,1.07081e-06
bs_phf,5400000,37.830412,1.158e-06
bs_phf,5500000,37.985768,1.5552e-06
bs_phf,5600000,38.830061,1.4889e-06
bs_phf,5700000,38.847270,1.48091e-06
bs_phf,5800000,39.926048,9.79185e-07
bs_phf,5900000,40.475812,1.1255e-06
bs_phf,6000000,40.909206,1.70882e-06
bs_phf,6100000,41.252324,1.29831e-06
bs_phf,6200000,42.385894,1.6293e-06
bs_phf,6300000,44.393920,8.11911e-07
bs_phf,6400000,45.172834,1.04041e-06
bs_phf,6500000,45.177309,1.18458e-06
bs_phf,6600000,45.918373,1.24731e-06
bs_phf,6700000,46.287497,1.3376e-06
bs_phf,6800000,46.560093,1.46291e-06
bs_phf,6900000,47.584108,1.26729e-06
bs_phf,7000000,47.881923,1.4924e-06
bs_phf,7100000,48.591529,1.29511e-06
bs_phf,7200000,48.961231,1.6326e-06
bs_phf,7300000,49.628939,1.61779e-06
bs_phf,7400000,50.968289,1.31059e-06
bs_phf,7500000,51.839381,1.34461e-06
bs_phf,7600000,51.908442,1.6783e-06
bs_phf,7700000,52.738499,1.60081e-06
bs_phf,7800000,53.720136,1.42369e-06
bs_phf,7900000,54.055147,1.28841e-06
bs_phf,8000000,54.629416,1.36499e-06
bs_phf,8100000,54.829076,1.69768e-06
bs_phf,8200000,55.867954,1.59969e-06
bs_phf,8300000,55.984687,1.68922e-06
bs_phf,8400000,67.580636,7.88593e-07
bs_phf,8500000,67.924643,1.12929e-06
bs_phf,8600000,67.955507,1.11821e-06
bs_phf,8700000,68.656547,1.1272e-06
bs_phf,8800000,69.201623,1.2748e-06
bs_phf,8900000,69.425580,1.47042e-06
bs_phf,9000000,70.573361,1.11701e-06
bs_phf,9100000,72.298419,1.33491e-06
bs_phf,9200000,71.847227,1.2048e-06
bs_phf,9300000,72.474949,1.52988e-06
bs_phf,9400000,72.778284,1.66361e-06
bs_phf,9500000,74.533578,1.177e-06
bs_phf,9600000,74.801948,1.25861e-06
bs_phf,9700000,75.200200,1.08888e-06
bs_phf,9800000,75.442430,1.28469e-06
bs_phf,9900000,76.847117,1.4884e-06
bs_phf,10000000,77.192493,1.24249e-06
